comuna,CAROLINA GOIC BOROEVIC,JOSE ANTONIO KAST RIST,SEBASTIAN PIniERA ECHENIQUE,ALEJANDRO  GUILLIER ALVAREZ,BEATRIZ SANCHEZ MUniOZ,MARCO  ENRIQUEZ-OMINAMI GUMUCIO,EDUARDO ARTES BRICHETTI,ALEJANDRO NAVARRO BRAIN,Votos Nulos,Votos Blancos
CAMIniA,10,42,445,124,78,44,3,2,15,1
COLCHANE,15,61,413,61,35,35,1,8,13,4
HUARA,48,73,701,404,190,111,7,5,20,12
PICA,100,110,997,575,407,172,14,2,14,14
POZO ALMONTE,290,407,1624,923,599,389,18,9,38,25
ALTO HOSPICIO,868,2070,5552,3630,4492,1743,82,54,117,76
IQUIQUE,2131,6037,25366,14604,14718,3871,300,157,458,212
ANTOFAGASTA,4108,8162,37567,24703,25061,7121,403,246,937,307
MEJILLONES,113,219,1042,1075,900,246,8,13,45,18
SIERRA GORDA,16,32,272,186,150,49,7,2,2,6
TALTAL,145,138,1165,1517,660,263,21,14,29,26
CALAMA,1943,5182,17373,11646,10107,3326,227,140,478,167
OLLAGUE,3,15,129,49,36,29,1,0,0,3
SAN PEDRO DE ATACAMA,94,127,737,635,609,228,20,8,37,26
MARIA ELENA,51,83,530,405,397,132,7,4,12,11
TOCOPILLA,332,407,2274,3375,1150,567,37,21,86,32
CHAniARAL,205,117,1898,1540,899,270,22,14,48,39
DIEGO DE ALMAGRO,237,163,1176,1988,829,274,31,17,47,31
CALDERA,202,233,2157,1881,1157,401,30,14,48,30
COPIAPO,1785,2449,22298,11497,10457,2520,223,117,333,218
TIERRA AMARILLA,142,186,2174,1522,956,319,36,22,40,47
ALTO DEL CARMEN,104,68,800,476,296,123,15,6,15,24
FREIRINA,127,44,953,1066,325,83,14,11,19,21
HUASCO,153,151,1254,1196,608,143,14,16,29,37
VALLENAR,718,592,8419,5274,2935,937,123,63,156,125
CANELA,247,93,1112,2115,298,91,28,19,38,57
ILLAPEL,725,453,3628,4528,1863,597,77,56,90,81
LOS VILOS,398,290,2324,2654,1426,458,51,29,55,62
SALAMANCA,565,441,3142,3273,1433,509,60,40,88,81
ANDACOLLO,322,99,1702,1614,980,280,37,14,64,48
COQUIMBO,4008,3843,25794,14700,15082,3857,324,164,568,399
LA HIGUERA,98,21,843,475,227,80,12,8,30,28
LA SERENA,4135,3909,30538,17291,15661,3418,306,145,640,329
PAIHUANO,125,49,989,507,349,86,12,4,12,23
VICUniA,830,286,3958,2527,1525,541,41,25,122,111
COMBARBALA,362,165,1488,2436,579,199,41,26,53,60
MONTE PATRIA,1526,377,3269,3442,1380,587,81,59,120,166
OVALLE,2376,1398,12625,11041,6138,2032,176,133,343,250
PUNITAQUI,330,167,1269,1613,709,298,29,17,66,67
RIO HURTADO,160,47,1004,447,178,101,11,8,26,18
ISLA DE PASCUA,168,94,555,307,597,189,6,15,20,30
CALLE LARGA,275,267,1917,1787,806,308,26,17,51,26
LOS ANDES,1361,1737,9570,6574,5281,1293,123,67,237,97
RINCONADA,278,220,1663,1270,666,211,21,16,28,26
SAN ESTEBAN,373,394,2664,2302,1177,286,37,21,78,50
LIMACHE,788,1347,6515,3563,4042,774,71,32,168,108
OLMUE,287,462,3158,1449,1446,322,38,6,70,59
QUILPUE,3005,5739,20504,12125,17719,2987,275,130,485,171
VILLA ALEMANA,2001,4660,15583,8065,13022,2170,242,77,378,134
CABILDO,728,387,2227,2334,1944,474,60,15,79,83
LA LIGUA,770,636,5354,4050,2885,779,68,31,101,91
