Comuna;0 a 4;5 a 9;10 a 14;15 a 19;20 a 24;25 a 29;30 a 34;35 a 39;40 a 44;45 a 49;50 a 54;55 a 59;60 a 64;65 a 69;70 a 74;75 a 79;80 a 84;85 a 89;90 a 94;95 a 99;100+
SAN JAVIER;22.002;1.553;1.632;1.605;1.696;1.604;1.569;1.293;1.263;1.450;1.568;1.572;1.312;1.116;950;754;541;277;166;61;13;7
VILLA ALEGRE;7.880;536;538;543;538;505;500;472;457;519;561;589;521;456;355;336;223;129;69;29;4;0
YERBAS BUENAS;9.125;625;666;644;663;567;651;552;578;594;626;713;607;490;401;339;201;120;58;15;10;5
CONCEPCIÓN;107.624;6.020;6.090;5.779;8.901;13.109;11.134;8.116;6.771;6.379;6.540;6.627;5.884;5.105;3.864;3.010;1.975;1.293;725;217;66;19
CORONEL;55.799;4.321;4.583;4.238;4.367;4.298;4.598;3.820;3.544;3.392;3.653;3.935;3.455;2.677;1.824;1.280;884;534;285;88;17;6
CHIGUAYANTE;40.505;2.690;3.057;2.866;3.282;3.587;3.445;2.542;2.463;2.435;2.746;2.943;2.494;1.983;1.525;1.061;691;397;198;70;27;3
FLORIDA;5.386;274;321;319;308;336;319;341;295;357;427;433;397;372;300;236;174;91;67;17;2;0
HUALQUI;11.843;854;1.028;884;895;897;894;751;763;715;785;873;720;581;412;323;215;159;72;19;2;1
LOTA;20.950;1.473;1.476;1.524;1.510;1.648;1.620;1.199;1.049;1.308;1.517;1.604;1.459;1.152;882;685;426;236;124;43;13;2
PENCO;22.617;1.532;1.695;1.602;1.737;1.769;1.832;1.496;1.341;1.453;1.527;1.631;1.493;1.143;939;640;422;209;107;37;7;5
SAN PEDRO DE LA PAZ;62.941;5.115;5.376;5.007;5.020;4.960;4.837;4.544;4.768;4.948;4.181;3.866;3.074;2.441;1.905;1.345;796;447;215;65;20;11
SANTA JUANA;6.751;448;540;458;454;460;462;383;360;419;470;511;446;366;307;264;199;110;62;25;6;1
TALCAHUANO;72.993;4.815;5.075;4.827;6.143;6.510;6.018;4.951;4.452;4.426;4.462;4.928;4.817;3.974;2.907;1.914;1.251;837;497;139;36;14
TOMÉ;25.919;1.712;1.867;1.799;1.950;1.915;1.903;1.640;1.558;1.632;1.778;1.795;1.731;1.332;1.104;894;604;375;220;78;22;10
HUALPÉN;43.488;2.956;3.110;2.907;3.281;3.883;3.546;2.889;2.692;2.842;2.943;3.137;2.642;2.011;1.592;1.235;939;526;281;61;11;4
LEBU;12.441;977;972;935;969;747;906;878;807;857;872;850;713;629;444;337;237;174;97;27;12;1
ARAUCO;17.875;1.273;1.376;1.351;1.383;1.167;1.407;1.232;1.181;1.192;1.268;1.284;1.045;877;624;495;360;186;114;48;8;4
CAÑETE;16.641;1.273;1.413;1.366;1.227;1.002;1.192;1.058;1.106;1.138;1.078;1.035;997;830;684;490;334;244;135;32;5;2
CONTULMO;3.028;184;217;230;205;168;194;174;196;203;211;214;213;166;145;111;95;53;34;12;3;0
CURANILAHUE;15.828;1.154;1.268;1.180;1.205;971;1.093;1.005;1.060;1.112;1.070;1.143;984;875;628;455;274;193;111;41;6;0
LOS ÁLAMOS;10.203;766;929;912;753;580;708;620;692;723;702;682;583;476;380;256;199;121;80;28;10;3
TIRÚA;5.195;389;443;406;384;360;372;370;403;366;330;314;285;241;174;153;89;64;37;12;2;1
LOS ÁNGELES;97.980;7.446;7.746;7.669;7.526;6.977;7.466;6.706;6.366;6.788;6.996;6.580;5.546;4.385;3.325;2.691;1.781;1.104;601;212;51;18
ANTUCO;1.975;149;130;153;143;134;113;104;108;112;141;147;120;121;80;84;65;42;21;5;3;0
CABRERO;14.174;978;1.000;1.061;1.022;1.019;983;882;890;954;1.048;1.100;879;739;557;438;285;180;104;53;2;0
LAJA;10.744;800;873;797;845;702;699;540;617;648;766;788;684;578;465;409;261;159;85;22;4;2
MULCHÉN;14.597;982;1.109;1.082;1.116;1.031;1.069;904;917;919;1.023;1.054;869;724;574;500;338;196;125;54;9;2
NACIMIENTO;12.962;863;1.003;1.044;977;900;884;770;786;812;885;938;875;703;478;436;280;192;96;33;5;2
NEGRETE;4.813;356;379;366;331;327;340;255;282;282;350;341;343;262;189;174;106;73;40;13;4;0
QUILACO;2.001;105;135;117;139;110;128;97;106;109;123;161;147;120;125;102;86;55;28;5;3;0
QUILLECO;4.720;254;334;342;333;329;283;214;227;301;358;328;335;236;243;240;172;105;63;20;2;1
SAN ROSENDO;1.661;118;115;141;113;96;104;74;88;105;103;129;113;100;93;77;52;27;8;4;0;1
SANTA BÁRBARA;6.699;477;521;499;476;487;479;402;416;364;416;459;407;365;304;247;177;101;80;17;3;2
TUCAPEL;6.876;439;502;520;452;462;399;455;400;387;470;523;462;354;371;240;210;129;71;26;3;1
YUMBEL;10.465;607;665;683;696;592;639;593;664;722;760;779;752;638;544;424;359;189;103;51;5;0
ALTO BIOBÍO;3.036;292;291;265;176;204;248;253;214;207;181;181;153;118;91;64;52;34;9;2;1;0
CHILLÁN *;87.521;6.056;6.302;6.283;7.085;6.793;6.815;5.976;5.637;5.786;6.057;6.026;5.196;4.257;3.269;2.507;1.696;988;548;196;37;11
BULNES *;10.382;669;719;755;730;691;677;597;617;660;726;831;698;597;502;368;259;167;67;39;12;1
COBQUECURA *;2.525;89;128;144;114;105;133;150;179;180;172;215;219;174;169;146;103;65;31;7;2;0
COELEMU *;7.873;533;577;545;484;512;523;438;449;507;557;629;568;459;357;296;199;125;71;34;5;5
COIHUECO *;13.424;855;993;1.005;1.011;992;956;820;852;905;974;966;872;675;542;407;285;180;88;37;7;2
CHILLÁN VIEJO *;14.581;1.080;1.249;1.190;1.155;1.053;1.127;1.033;942;1.060;1.055;1.000;778;612;458;346;236;126;50;23;5;3
EL CARMEN *;5.967;357;399;419;414;345;370;344;371;416;425;466;414;339;281;223;179;126;59;19;1;0
NINHUE *;2.567;126;142;152;188;125;137;121;145;175;180;217;187;189;157;117;106;58;28;13;4;0
ÑIQUÉN *;5.616;310;323;397;339;279;281;276;273;345;407;484;481;413;330;291;170;113;73;19;10;2
PEMUCO *;4.221;275;286;327;333;275;251;256;248;278;279;332;290;216;150;167;135;67;39;11;4;2
PINTO *;5.336;314;340;342;364;341;356;333;293;370;418;414;373;311;252;213;156;81;46;11;7;1
PORTEZUELO *;2.416;130;151;138;158;130;123;125;135;145;174;231;211;162;123;95;80;66;26;12;0;1
QUILLÓN *;8.664;510;571;552;529;485;606;504;490;531;633;693;622;522;453;408;298;145;86;20;3;3
QUIRIHUE *;5.679;320;365;389;357;308;397;356;337;387;442;444;370;361;264;232;166;99;59;22;4;0
RÁNQUIL *;2.842;167;169;190;156;153;133;145;167;174;207;242;228;185;161;140;116;62;37;8;2;0
SAN CARLOS *;25.425;1.596;1.777;1.887;1.842;1.722;1.766;1.519;1.431;1.545;1.857;1.895;1.731;1.385;1.174;937;641;402;210;88;16;4
SAN FABIÁN *;2.203;117;124;159;161;136;144;126;150;147;168;159;134;119;112;95;85;33;25;8;1;0
SAN IGNACIO *;7.882;442;524;540;519;480;525;465;437;515;549;626;595;501;386;316;217;125;81;31;7;1
SAN NICOLÁS *;5.796;292;393;428;428;332;354;327;327;390;459;485;391;367;292;236;149;78;52;12;4;0
TREGUACO *;2.703;161;167;188;187;132;154;123;136;199;212;231;196;175;147;113;99;52;26;3;2;0
YUNGAY *;8.964;526;628;629;550;527;636;564;537;652;688;744;602;460;398;291;258;158;85;22;2;7
TEMUCO;134.289;9.569;9.582;9.160;11.279;13.276;11.974;9.766;9.011;9.013;8.455;8.221;7.062;5.690;4.264;3.209;2.220;1.369;763;303;70;33
CARAHUE;12.202;903;928;949;944;683;761;715;695;784;811;857;806;661;549;451;348;188;113;39;14;3
CUNCO;8.765;564;571;612;600;514;528;461;442;583;617;660;641;517;428;410;309;180;89;30;7;2
CURARREHUE;3.821;287;326;281;271;229;275;265;273;252;243;242;187;206;143;110;109;72;37;10;2;1
FREIRE;12.413;768;895;932;960;843;815;677;666;848;892;894;848;724;546;454;310;195;97;37;10;2
GALVARINO;6.032;456;461;492;406;388;352;342;368;369;386;451;410;316;259;209;142;116;70;30;8;1
GORBEA;6.945;399;460;433;495;432;448;429;407;429;483;517;497;418;341;292;211;138;78;30;7;1
LAUTARO;18.448;1.418;1.418;1.416;1.467;1.412;1.384;1.205;1.179;1.305;1.247;1.161;981;845;666;553;369;234;128;45;10;5
LONCOCHE;11.502;796;887;839;881;676;729;652;649;780;766;852;739;639;539;412;304;189;118;44;8;3
MELIPEUCO;3.091;198;224;203;196;183;182;181;177;215;184;232;199;173;182;140;105;60;44;9;4;0
NUEVA IMPERIAL;15.870;1.086;1.239;1.251;1.230;1.148;1.079;909;871;1.047;1.042;1.068;962;810;684;555;416;268;137;43;21;4
PADRE LAS CASAS;36.996;2.876;3.086;2.899;3.043;3.177;2.858;2.558;2.404;2.544;2.457;2.459;1.916;1.482;1.129;878;603;372;166;68;15;6
PERQUENCO;3.395;242;247;253;244;221;233;188;197;246;226;269;212;178;141;117;87;60;28;6;0;0
PITRUFQUÉN;12.065;793;826;908;890;781;800;717;724;835;831;883;779;677;514;438;288;199;117;44;14;7
PUCÓN;14.106;1.038;990;1.012;984;976;1.241;1.014;1.073;1.043;934;953;828;583;489;404;267;152;88;27;6;4
SAAVEDRA;6.129;406;452;452;386;343;357;352;368;343;430;427;456;378;293;242;196;136;70;32;8;2
TEODORO SCHMIDT;7.526;470;511;520;406;388;464;424;448;536;568;578;516;485;388;340;228;154;72;20;9;1
TOLTÉN;4.883;298;370;338;347;232;296;254;262;346;355;391;371;280;229;187;142;104;59;18;0;4
VILCÚN;13.873;988;1.145;1.089;1.125;995;960;841;895;987;1.005;916;794;624;504;413;273;185;101;27;3;3
VILLARRICA;27.196;1.970;2.124;1.984;2.046;1.866;2.014;1.775;1.725;1.829;2.001;1.928;1.551;1.360;1.025;820;544;342;189;86;15;2
CHOLCHOL;5.773;415;475;486;503;375;328;339;323;369;360;359;355;286;238;206;160;110;60;19;6;1
ANGOL;25.613;1.979;2.005;1.895;1.776;1.633;2.021;1.758;1.641;1.707;1.649;1.699;1.563;1.317;960;779;600;355;191;63;18;4
COLLIPULLI;12.064;887;1.016;988;885;744;870;737;734;770;789;816;789;624;487;362;279;147;82;43;14;1
CURACAUTÍN;8.376;601;594;620;574;524;494;448;496;508;568;644;522;500;406;334;245;157;99;32;9;1
ERCILLA;3.817;283;327;309;286;267;235;235;218;237;259;233;210;205;154;144;101;64;34;14;2;0
LONQUIMAY;5.346;383;387;357;469;376;364;323;361;386;366;340;325;277;211;165;119;81;36;17;3;0
LOS SAUCES;3.607;215;243;252;281;211;201;218;217;216;254;283;254;227;151;151;116;62;38;13;4;0
LUMACO;4.927;351;355;385;290;303;281;253;295;325;370;399;333;255;244;179;137;110;47;10;4;1
PURÉN;5.677;424;449;400;362;324;345;321;342;346;435;400;368;346;250;195;154;125;53;27;11;0
RENAICO;4.957;353;384;353;358;314;360;334;287;319;352;366;310;280;212;146;113;70;34;6;5;1
TRAIGUÉN;9.019;638;681;677;795;506;552;520;499;507;563;662;618;506;412;314;261;172;93;33;7;3
VICTORIA;16.408;1.208;1.152;1.108;1.334;1.155;1.106;1.065;966;973;1.118;1.219;1.039;893;710;556;360;234;136;60;12;4
VALDIVIA;80.348;5.189;5.352;5.176;6.551;8.330;7.210;5.827;5.204;5.046;5.053;5.372;4.555;3.771;2.781;2.027;1.357;828;471;198;37;13
CORRAL;2.635;150;152;196;176;171;172;159;114;174;210;221;161;167;146;100;79;43;27;13;4;0
LANCO;8.224;555;729;633;568;506;557;500;489;504;596;619;515;427;347;258;184;133;77;19;7;1
LOS LAGOS;9.757;610;745;717;711;623;721;603;572;664;702;703;630;553;413;330;233;132;64;25;5;1
MÁFIL;3.492;234;258;256;214;240;280;223;221;185;226;281;218;192;153;120;87;53;29;11;5;6
MARIQUINA;10.607;790;908;854;766;758;732;673;642;685;698;752;607;494;405;349;227;139;93;28;5;2
PAILLACO;10.067;652;765;736;785;648;691;608;633;663;686;758;656;535;404;342;227;147;94;29;5;3
PANGUIPULLI;17.199;1.139;1.276;1.334;1.322;1.018;1.162;1.108;1.051;1.191;1.257;1.295;1.059;869;739;549;374;227;165;47;12;5
LA UNIÓN;18.729;1.235;1.368;1.409;1.610;1.200;1.232;1.102;1.077;1.174;1.260;1.410;1.264;967;837;625;443;313;135;54;8;6
FUTRONO;7.252;549;592;503;501;417;530;449;414;521;482;551;503;357;280;234;173;115;57;21;1;2
LAGO RANCO;5.045;319;356;361;318;268;317;278;300;334;398;408;361;316;237;179;134;98;41;15;5;2
RÍO BUENO;15.492;974;1.059;1.058;1.041;949;1.047;899;887;1.046;1.147;1.240;1.110;910;705;581;409;244;118;57;8;3
PUERTO MONTT;121.019;8.523;9.477;9.245;9.484;10.188;10.710;9.277;9.068;8.937;8.364;7.924;6.073;4.562;3.418;2.463;1.617;921;493;201;51;23
CALBUCO;17.104;1.103;1.289;1.304;1.182;1.165;1.275;1.112;1.037;1.165;1.392;1.282;985;798;633;533;383;232;170;50;12;2
COCHAMÓ;2.195;93;121;125;85;129;155;140;152;182;170;183;176;145;115;84;63;41;24;11;1;0
FRESIA;6.181;361;382;436;423;398;362;325;345;466;439;530;433;393;299;225;177;103;61;13;10;0
FRUTILLAR;9.093;594;701;640;623;612;699;602;601;654;570;700;605;471;352;257;202;108;64;31;5;2
LOS MUERMOS;8.681;541;587;553;571;532;581;472;498;632;688;683;564;488;435;333;251;150;80;30;11;1
LLANQUIHUE;8.627;555;605;618;651;648;624;543;543;604;623;673;552;446;344;266;179;91;38;16;7;1
MAULLÍN;7.231;409;465;467;449;383;442;389;354;481;610;634;530;441;380;329;224;155;62;21;5;1
PUERTO VARAS;21.878;1.680;1.730;1.558;1.654;1.283;1.672;1.617;1.757;1.710;1.646;1.450;1.271;923;702;534;325;223;92;42;6;3
CASTRO;21.471;1.440;1.637;1.634;1.551;1.323;1.724;1.658;1.691;1.656;1.585;1.532;1.195;881;660;518;372;225;99;71;11;8
ANCUD;19.029;1.216;1.351;1.380;1.372;1.142;1.350;1.189;1.257;1.285;1.363;1.492;1.242;988;774;665;461;257;162;50;25;8
CHONCHI;7.445;428;506;547;720;431;522;555;535;613;577;526;434;332;245;197;152;62;43;15;5;0
CURACO DE VÉLEZ;1.853;113;152;137;150;117;100;114;140;149;151;128;95;89;61;67;42;23;14;10;1;0
DALCAHUE;6.913;456;558;544;505;457;524;474;469;504;512;558;376;275;229;167;138;96;43;20;8;0
PUQUELDÓN;1.973;121;138;136;138;122;123;143;176;146;152;139;103;96;89;62;48;22;13;4;2;0
QUEILÉN;2.773;166;176;208;175;179;206;184;184;233;200;231;179;133;99;86;58;36;25;11;3;1
QUELLÓN;13.857;994;1.151;1.041;936;934;1.246;1.182;1.088;996;1.086;993;767;529;340;244;182;88;42;18;0;0
QUEMCHI;4.308;212;297;318;222;255;277;263;306;355;362;326;269;234;179;168;122;76;48;14;4;1
QUINCHAO;3.941;217;257;300;265;227;261;299;269;329;311;309;221;191;164;133;92;52;29;12;2;1
OSORNO;77.155;5.268;5.830;5.535;5.739;5.824;6.251;5.783;5.322;5.576;5.089;5.210;4.525;3.499;2.599;2.035;1.439;895;499;185;37;15
PUERTO OCTAY;4.721;280;305;335;340;346;314;268;295;304;352;401;326;279;200;144;131;55;28;14;3;1
PURRANQUE;9.976;662;704;723;723;650;733;567;551;654;677;770;658;530;436;355;260;176;93;45;7;2
PUYEHUE;5.958;363;380;391;524;393;362;351;344;442;412;468;383;325;268;221;164;89;54;18;4;2
RÍO NEGRO;7.051;431;482;478;546;449;422;408;361;467;523;537;489;419;353;275;199;111;65;30;6;0
SAN JUAN DE LA COSTA;4.011;177;261;260;211;203;174;186;269;328;295;320;300;277;233;178;149;113;56;15;5;1
SAN PABLO;4.978;307;343;317;335;267;306;255;294;315;315;447;351;323;258;201;165;98;59;19;3;0
CHAITÉN;3.016;142;152;179;141;180;267;241;284;296;261;234;207;168;79;77;46;42;15;4;0;1
FUTALEUFÚ;1.375;80;80;68;69;89;125;118;103;102;115;110;90;69;47;38;42;14;9;5;2;0
HUALAIHUÉ;4.701;304;329;396;275;257;323;310;350;350;384;370;299;244;169;138;88;62;36;14;3;0
PALENA;886;33;57;64;46;37;67;68;58;60;63;78;53;73;47;31;23;12;9;6;1;0
COYHAIQUE;28.763;2.108;2.431;2.319;2.478;1.724;2.216;2.123;2.253;2.076;1.918;1.797;1.602;1.293;906;638;436;255;132;44;9;5
LAGO VERDE;494;18;36;34;19;27;38;32;33;31;32;51;34;44;28;11;13;5;6;1;1;0
AYSÉN;12.719;857;1.018;983;961;772;1.127;1.026;987;1.014;871;872;713;507;360;275;201;114;41;17;3;0
CISNES;3.922;190;235;207;157;215;418;395;356;398;351;366;216;170;102;61;39;29;13;3;0;1
GUAITECAS;1.166;48;63;60;40;81;128;136;130;109;118;88;55;41;28;13;13;11;2;1;1;0
COCHRANE;1.902;134;133;110;142;161;142;179;140;142;134;119;118;86;54;39;40;19;5;4;1;0
O'HIGGINS;374;27;21;17;3;23;44;43;29;36;26;22;33;20;13;10;4;2;1;0;0;0
TORTEL;285;18;26;13;6;15;28;32;25;27;27;18;21;12;5;7;0;4;0;1;0;0
CHILE CHICO;2.577;145;167;182;116;135;197;229;187;177;197;202;204;163;80;80;59;34;17;4;1;1
RÍO IBÁÑEZ;1.445;90;81;84;59;72;118;114;80;101;107;118;105;113;65;57;37;23;14;6;1;0
PUNTA ARENAS;65.538;3.920;4.320;4.326;5.429;4.724;5.242;5.199;4.882;4.722;4.090;4.241;4.226;3.385;2.479;1.893;1.211;694;373;137;34;11
LAGUNA BLANCA;191;6;4;15;5;10;7;13;18;16;16;22;15;23;13;5;3;0;0;0;0;0
RÍO VERDE;522;3;1;1;7;44;59;77;60;61;55;55;34;39;14;6;3;2;1;0;0;0
SAN GREGORIO;619;12;18;4;5;25;67;78;54;66;55;54;77;60;21;19;3;1;0;0;0;0
CABO DE HORNOS;1.195;77;97;79;41;100;124;140;127;115;89;75;63;31;19;12;3;2;1;0;0;0
ANTÁRTICA;126;2;2;0;0;2;14;19;35;21;20;8;1;2;0;0;0;0;0;0;0;0
PORVENIR;3.993;205;223;218;446;295;388;323;281;279;254;250;271;194;135;104;69;38;15;3;1;1
PRIMAVERA;930;18;14;16;5;39;112;113;111;86;91;101;96;91;23;10;3;1;0;0;0;0
TIMAUKEL;343;7;9;2;8;27;41;40;27;29;46;36;31;19;13;4;3;0;0;0;0;1
NATALES;10.992;642;727;718;813;661;930;898;864;843;706;658;627;575;483;343;248;146;72;29;8;1
TORRES DEL PAINE;800;6;7;8;19;89;161;120;80;53;59;53;47;39;27;18;12;2;0;0;0;0
