Comuna;0 a 4;5 a 9;10 a 14;15 a 19;20 a 24;25 a 29;30 a 34;35 a 39;40 a 44;45 a 49;50 a 54;55 a 59;60 a 64;65 a 69;70 a 74;75 a 79;80 a 84;85 a 89;90 a 94;95 a 99;100+
CONCÓN;20.321;1.329;1.473;1.439;1.621;1.825;1.608;1.343;1.270;1.307;1.354;1.438;1.249;991;718;600;355;239;117;37;8;0
JUAN FERNÁNDEZ;499;34;37;28;20;20;54;52;45;37;38;34;25;30;23;9;5;4;3;0;0;1
PUCHUNCAVÍ;9.358;622;665;636;599;651;650;670;566;627;632;657;625;506;421;336;237;154;81;20;2;1
QUINTERO;15.834;1.122;1.221;1.081;1.149;1.204;1.193;1.066;967;1.012;1.049;1.082;961;796;635;517;407;205;125;32;10;0
VIÑA DEL MAR;158.669;9.415;9.469;9.205;12.677;16.945;14.602;11.544;10.049;9.270;8.862;9.829;9.247;7.841;6.256;5.171;3.637;2.556;1.509;453;106;26
ISLA DE PASCUA;3.819;272;295;260;235;242;404;400;340;308;242;251;181;160;113;68;33;12;2;0;1;0
LOS ANDES;33.289;2.208;2.255;2.196;2.617;2.450;2.779;2.417;2.569;2.397;2.157;2.209;1.891;1.590;1.286;1.026;584;339;229;64;17;9
CALLE LARGA;7.328;579;605;526;540;475;611;494;499;465;444;512;437;323;283;240;136;90;43;19;4;3
RINCONADA;5.134;407;469;371;359;305;381;333;379;352;370;339;302;226;188;143;101;67;30;9;2;1
SAN ESTEBAN;9.303;679;767;650;665;614;643;662;592;645;610;674;563;451;384;293;186;110;78;25;7;5
LA LIGUA;17.340;1.155;1.270;1.161;1.163;1.075;1.275;1.178;1.091;1.161;1.156;1.335;1.149;915;753;581;434;293;145;43;5;2
CABILDO;9.467;676;759;730;678;584;656;617;631;567;612;682;589;514;387;337;216;141;68;15;6;2
PAPUDO;3.341;190;178;192;470;223;250;231;194;200;207;270;199;158;134;96;72;40;26;8;2;1
PETORCA;4.889;306;363;324;282;303;373;294;314;305;329;380;328;285;220;199;133;94;43;11;2;1
ZAPALLAR;3.704;244;207;202;233;246;288;248;250;262;241;289;287;208;163;154;78;57;31;12;2;2
QUILLOTA;43.537;2.939;3.188;3.011;3.401;3.463;3.459;3.209;2.789;2.665;2.562;2.846;2.671;2.210;1.752;1.361;911;589;364;117;21;9
CALERA;24.462;1.659;1.898;1.764;1.967;1.884;1.897;1.716;1.472;1.511;1.431;1.622;1.439;1.322;933;764;586;322;204;59;7;5
HIJUELAS;9.037;636;630;639;680;690;659;623;557;587;611;665;587;445;351;283;189;114;58;27;4;2
LA CRUZ;10.656;877;908;810;796;674;850;893;848;735;635;612;559;445;338;279;186;120;55;25;9;2
NOGALES;10.799;783;784;802;889;804;799;678;583;640;671;766;724;560;450;356;252;135;87;28;7;1
SAN ANTONIO;44.713;3.219;3.163;3.172;3.076;3.129;3.581;3.159;2.980;3.076;2.907;3.119;2.891;2.264;1.787;1.315;873;546;323;85;31;17
ALGARROBO;6.734;396;400;400;415;389;423;443;436;452;425;452;466;415;398;354;243;120;77;21;6;3
CARTAGENA;11.265;757;762;803;723;693;806;735;666;651;714;771;784;658;578;461;357;197;119;25;5;0
EL QUISCO;7.826;431;490;510;466;424;470;480;485;508;471;544;503;489;468;435;310;189;112;35;4;2
EL TABO;6.682;405;384;416;361;339;424;440;397;387;438;459;489;419;441;405;239;148;72;12;5;2
SANTO DOMINGO;5.428;357;401;361;344;263;367;371;357;420;408;431;353;305;237;183;130;73;51;14;2;0
SAN FELIPE;37.219;2.794;2.892;2.597;2.701;2.757;3.180;2.872;2.604;2.446;2.234;2.407;2.118;1.759;1.369;1.041;669;439;229;93;15;3
CATEMU;6.982;476;508;492;494;494;546;477;444;430;471;466;432;345;303;238;164;111;60;20;11;0
LLAILLAY;12.216;969;912;893;794;842;941;863;765;756;814;859;759;617;491;376;239;181;100;35;6;4
PANQUEHUE;3.677;277;276;260;244;245;269;263;238;261;247;241;231;213;157;117;64;43;19;9;2;1
PUTAENDO;8.358;563;587;562;588;611;559;526;544;533;527;602;565;440;365;313;204;151;83;26;6;3
SANTA MARÍA;7.586;561;578;519;546;546;563;497;524;448;459;550;507;377;319;235;175;108;56;13;3;2
QUILPUÉ;71.746;4.625;4.872;4.839;5.529;6.011;5.770;4.655;4.477;4.557;4.484;4.678;4.431;3.737;3.042;2.412;1.644;1.099;617;198;50;19
LIMACHE;22.353;1.536;1.660;1.557;1.726;1.718;1.692;1.433;1.440;1.506;1.447;1.492;1.327;1.008;872;792;562;338;180;48;13;6
OLMUÉ;8.597;572;557;540;600;591;595;572;558;532;516;597;565;492;424;363;244;146;100;24;8;1
VILLA ALEMANA;59.756;4.190;4.503;4.165;4.780;4.942;4.730;4.145;3.848;3.827;3.638;3.844;3.595;2.890;2.198;1.784;1.207;807;479;149;27;8
SANTIAGO;206.678;10.436;7.881;6.675;9.104;21.956;35.378;32.266;22.274;15.327;11.078;9.587;7.486;5.686;4.083;3.098;2.027;1.258;733;241;63;41
CERRILLOS;39.631;2.877;2.860;2.666;2.987;3.767;3.306;2.859;2.635;2.840;2.596;2.612;2.108;1.632;1.331;1.051;722;447;248;71;12;4
CERRO NAVIA;65.438;4.471;4.458;4.373;4.942;5.790;5.873;4.566;4.110;4.465;4.594;4.457;3.642;2.788;2.377;2.053;1.296;680;356;104;22;21
CONCHALÍ;61.877;4.037;4.034;3.884;4.315;5.422;5.613;4.534;4.023;4.050;4.123;4.313;3.783;2.766;2.110;1.857;1.371;926;510;163;34;9
EL BOSQUE;79.372;5.382;6.075;5.466;5.903;6.798;7.302;5.604;4.988;4.871;4.974;5.312;4.732;3.768;2.861;2.304;1.475;917;483;117;25;15
ESTACIÓN CENTRAL;73.458;4.365;4.167;3.601;4.474;7.153;8.702;7.036;5.644;5.091;4.514;4.651;3.978;3.117;2.229;1.888;1.334;823;469;172;39;11
HUECHURABA;48.122;3.710;4.143;3.884;3.754;3.798;3.506;3.117;3.512;3.922;3.862;3.222;2.212;1.542;1.367;1.231;742;370;177;34;7;10
INDEPENDENCIA;49.186;3.334;2.827;2.410;2.925;4.865;6.368;5.254;4.124;3.411;2.759;2.638;2.151;1.847;1.423;1.202;768;455;299;92;27;7
LA CISTERNA;43.147;2.762;2.895;2.451;2.839;3.650;4.070;3.672;3.042;2.811;2.626;2.652;2.537;2.034;1.656;1.341;911;660;372;131;24;11
LA FLORIDA;175.693;11.413;11.799;11.215;12.581;14.666;15.783;13.483;12.329;11.965;10.930;10.738;10.307;9.107;7.427;5.571;3.337;1.714;950;276;70;32
LA GRANJA;57.025;3.892;3.934;3.757;4.196;4.981;5.019;4.158;3.555;3.332;3.286;3.830;4.003;3.249;2.338;1.481;859;609;411;109;17;9
LA PINTANA;87.044;7.198;7.200;6.672;6.876;7.662;7.551;6.263;5.857;5.642;5.036;5.093;4.822;4.026;3.143;1.971;1.164;526;257;69;11;5
LA REINA;43.599;2.636;2.902;2.957;3.521;3.624;3.383;2.601;2.888;3.062;2.844;2.916;2.573;2.132;1.812;1.439;1.010;648;439;162;39;11
LAS CONDES;135.917;8.260;7.502;7.230;9.195;12.172;12.858;11.541;9.954;8.973;8.225;7.904;7.714;6.535;5.170;4.520;3.385;2.391;1.541;661;161;25
LO BARNECHEA;50.500;3.532;4.484;4.539;4.719;4.661;3.721;2.486;3.055;3.475;3.580;3.608;2.938;2.155;1.394;987;517;362;192;64;23;8
LO ESPEJO;49.146;3.350;3.558;3.100;3.515;4.356;4.637;3.473;3.006;2.870;2.972;3.539;3.566;2.507;1.624;1.191;774;579;381;123;20;5
LO PRADO;46.799;2.900;3.026;2.962;3.199;4.144;4.238;3.435;2.957;3.271;3.219;3.185;2.563;2.000;1.805;1.681;1.196;615;292;85;17;9
MACUL;55.161;3.391;3.293;3.209;3.703;4.552;5.225;4.712;4.121;3.739;3.520;3.418;3.137;2.529;2.090;1.772;1.262;801;471;163;46;7
MAIPÚ;250.792;16.566;17.621;17.480;20.280;23.063;22.469;18.096;15.949;16.003;16.237;18.112;16.771;12.032;8.242;5.609;3.254;1.737;890;281;57;43
ÑUÑOA;95.409;6.236;5.077;4.464;5.245;6.836;8.944;10.557;9.465;7.354;5.696;5.427;5.228;4.160;3.258;2.586;1.920;1.384;1.029;433;89;21
PEDRO AGUIRRE CERDA;49.513;3.104;3.248;2.972;3.297;4.241;4.491;3.642;3.094;2.858;2.854;3.565;3.570;2.875;1.915;1.384;978;678;514;185;40;8
PEÑALOLÉN;116.882;7.647;8.766;8.425;9.433;10.766;9.712;7.330;7.525;8.505;8.687;8.216;6.521;5.026;3.902;2.922;1.853;961;463;166;33;23
PROVIDENCIA;65.710;3.910;2.810;2.333;3.033;4.899;7.115;8.259;7.002;5.346;3.902;3.308;3.049;2.694;2.389;1.988;1.414;1.043;754;349;93;20
PUDAHUEL;112.412;8.150;8.400;8.039;8.610;10.186;10.163;8.083;7.635;7.927;7.474;8.060;6.833;4.783;3.190;2.222;1.425;732;344;112;21;23
QUILICURA;103.456;7.696;8.403;8.344;8.841;9.406;9.483;7.886;7.394;7.906;7.723;6.849;5.246;3.576;2.048;1.308;693;354;204;63;12;21
QUINTA NORMAL;53.669;3.357;3.442;3.118;3.645;4.797;5.218;4.528;3.736;3.747;3.373;3.493;3.035;2.394;1.970;1.563;1.038;646;396;126;34;13
RECOLETA;77.709;4.943;4.943;4.593;5.255;7.042;7.428;6.459;5.864;5.541;5.012;4.864;4.211;3.551;2.805;2.257;1.472;819;457;145;35;13
RENCA;72.681;5.546;5.828;5.194;5.672;6.260;6.227;5.328;5.192;5.262;4.701;4.393;3.752;3.090;2.378;1.822;1.036;570;303;95;18;14
SAN JOAQUÍN;45.831;2.903;2.804;2.686;3.312;3.932;4.244;3.456;2.956;2.747;2.867;3.199;2.844;2.263;1.813;1.547;1.037;666;393;126;26;10
SAN MIGUEL;50.738;3.460;3.000;2.687;2.908;3.915;5.068;5.392;4.339;3.614;3.114;3.022;2.875;2.167;1.688;1.314;964;626;415;119;33;18
SAN RAMÓN;40.873;2.872;2.706;2.602;3.012;3.641;3.414;2.568;2.400;2.699;2.992;2.865;2.262;1.850;1.524;1.513;973;604;264;90;14;8
VITACURA;38.402;2.886;2.577;2.526;2.650;2.798;2.653;2.567;2.752;2.581;2.351;2.159;2.050;1.796;1.595;1.609;1.261;792;536;208;44;11
