Comuna;0 a 4;5 a 9;10 a 14;15 a 19;20 a 24;25 a 29;30 a 34;35 a 39;40 a 44;45 a 49;50 a 54;55 a 59;60 a 64;65 a 69;70 a 74;75 a 79;80 a 84;85 a 89;90 a 94;95 a 99;100+
PENCAHUE;8.245;451;523;496;565;522;482;435;534;589;644;657;577;494;419;331;221;148;99;41;14;3
RÍO CLARO;13.906;852;902;902;876;1.011;952;848;871;1.029;975;1.151;908;808;628;492;358;190;93;49;10;1
SAN CLEMENTE;43.269;2.976;3.133;2.920;3.025;3.169;3.238;2.619;2.620;3.036;3.070;3.128;2.685;2.297;1.860;1.429;983;582;336;119;35;9
SAN RAFAEL;9.191;649;672;682;662;685;672;521;520;607;659;630;571;506;408;320;205;123;70;23;4;2
CAUQUENES;40.441;2.538;2.680;2.779;2.591;2.271;2.684;2.337;2.586;2.662;2.765;2.941;2.692;2.279;1.826;1.628;1.309;908;597;266;82;20
CHANCO;8.928;570;554;619;522;457;592;553;551;586;657;699;668;506;399;352;272;198;122;35;10;6
PELLUHUE;7.571;500;499;515;382;397;539;531;506;479;514;524;473;442;413;328;255;137;98;35;4;0
CURICÓ;149.136;10.175;10.588;10.099;10.347;10.607;12.002;10.725;10.412;10.951;9.999;10.563;9.184;7.322;5.585;4.117;2.962;1.800;1.122;427;101;48
HUALAÑÉ;9.657;533;601;607;607;550;615;536;585;664;735;712;682;628;511;413;271;208;138;50;8;3
LICANTÉN;6.653;361;452;415;397;336;474;425;420;458;474;586;462;409;331;241;182;97;78;36;14;5
MOLINA;45.976;3.153;3.252;3.008;3.190;3.203;3.438;3.079;3.269;3.179;2.922;3.350;2.913;2.468;1.891;1.468;1.013;602;390;137;43;8
RAUCO;10.484;651;698;708;704;699;771;626;667;760;753;801;654;573;469;360;265;174;96;43;8;4
ROMERAL;15.187;1.005;998;1.028;1.002;1.000;1.186;1.012;1.044;1.217;1.120;1.137;939;759;618;442;324;199;104;44;8;1
SAGRADA FAMILIA;18.544;1.128;1.187;1.226;1.190;1.237;1.396;1.219;1.248;1.268;1.364;1.458;1.248;1.081;796;606;415;263;163;41;8;2
TENO;28.921;1.791;1.975;1.911;1.933;2.044;2.203;1.926;1.831;1.898;2.115;2.325;1.914;1.536;1.186;914;655;424;227;85;23;5
VICHUQUÉN;4.322;211;275;257;205;192;294;246;250;318;358;374;307;300;225;206;132;96;60;12;3;1
LINARES;93.602;6.368;6.831;6.341;6.621;5.948;6.879;6.364;6.352;6.204;6.199;6.883;5.969;4.924;3.890;2.960;2.162;1.403;849;338;94;23
COLBÚN;20.765;1.375;1.512;1.474;1.424;1.408;1.537;1.355;1.300;1.346;1.346;1.435;1.319;1.149;981;740;492;286;190;72;17;7
LONGAVÍ;30.534;2.013;1.980;2.058;1.912;1.952;2.225;1.947;1.988;2.105;2.203;2.418;2.101;1.661;1.367;1.117;689;402;250;107;31;8
PARRAL;41.637;2.881;3.025;2.869;2.654;2.370;2.955;2.658;2.604;2.838;2.986;3.047;2.652;2.300;1.793;1.517;1.149;715;410;161;42;11
RETIRO;19.974;1.307;1.358;1.313;1.244;1.170;1.297;1.186;1.167;1.410;1.537;1.643;1.439;1.142;942;727;502;305;180;79;19;7
SAN JAVIER;45.547;3.088;3.296;3.147;3.275;3.349;3.363;2.802;2.689;3.044;3.273;3.176;2.750;2.305;1.923;1.573;1.164;674;416;176;51;13
VILLA ALEGRE;16.221;1.049;1.076;1.129;1.040;1.091;1.088;1.026;967;1.047;1.140;1.200;1.044;932;749;659;461;267;170;70;12;4
YERBAS BUENAS;18.081;1.230;1.281;1.282;1.241;1.179;1.277;1.149;1.182;1.218;1.310;1.382;1.143;1.005;766;613;395;221;132;43;21;11
CONCEPCIÓN;223.574;11.818;11.940;11.307;17.446;25.763;21.507;16.050;13.876;13.407;13.758;14.283;13.216;11.345;8.824;7.086;5.072;3.432;2.186;910;280;68
CORONEL;116.262;8.664;9.038;8.419;8.497;8.759;9.531;8.094;7.399;7.354;7.910;8.394;7.160;5.666;3.948;2.932;2.061;1.265;821;261;66;23
CHIGUAYANTE;85.938;5.265;5.883;5.653;6.615;7.260;6.961;5.357;5.282;5.409;6.239;6.457;5.482;4.369;3.464;2.477;1.733;1.024;645;258;92;13
FLORIDA;10.624;553;641;623;594;623;683;662;578;680;809;854;829;699;580;459;349;199;148;49;11;1
HUALQUI;24.333;1.650;1.913;1.748;1.775;1.859;1.849;1.556;1.600;1.497;1.707;1.788;1.496;1.186;876;690;495;344;200;70;28;6
LOTA;43.535;2.874;2.922;2.966;3.082;3.374;3.263;2.446;2.271;2.723;3.211;3.411;2.971;2.486;1.873;1.502;1.030;591;365;136;32;6
PENCO;47.367;3.063;3.333;3.123;3.467;3.542;3.763;3.083;2.873;3.089;3.243;3.501;3.158;2.477;2.016;1.512;1.036;558;356;122;43;9
SAN PEDRO DE LA PAZ;131.808;9.957;10.545;9.764;9.887;9.989;10.143;9.753;10.270;10.368;8.963;8.270;6.784;5.581;4.276;3.009;1.985;1.199;700;269;71;25
SANTA JUANA;13.749;875;1.024;900;901;948;972;826;803;884;955;1.015;908;720;610;541;392;254;139;66;11;5
TALCAHUANO;151.749;9.395;9.907;9.470;11.501;12.619;12.098;10.235;9.318;9.428;9.562;10.771;10.478;8.680;6.188;4.481;3.224;2.231;1.454;542;127;40
TOMÉ;54.946;3.463;3.609;3.489;3.760;3.923;4.050;3.484;3.410;3.454;3.883;3.922;3.641;2.970;2.481;2.065;1.460;973;569;250;67;23
HUALPÉN;91.773;5.732;6.048;5.722;6.472;7.651;7.376;5.937;5.761;6.124;6.298;6.791;5.763;4.599;3.550;3.026;2.329;1.418;845;259;56;16
LEBU;25.522;1.926;1.885;1.911;1.884;1.564;1.917;1.812;1.706;1.803;1.801;1.712;1.472;1.339;921;711;508;330;220;78;18;4
ARAUCO;36.257;2.454;2.684;2.628;2.634;2.367;2.839;2.525;2.468;2.517;2.626;2.578;2.163;1.784;1.323;1.007;742;463;293;122;29;11
CAÑETE;34.537;2.569;2.749;2.736;2.407;2.181;2.507;2.343;2.398;2.378;2.296;2.196;1.984;1.664;1.375;1.046;729;533;290;119;28;9
CONTULMO;6.031;374;409;455;381;351;405;377;427;397;429;417;406;336;258;220;185;108;64;25;7;0
CURANILAHUE;32.288;2.273;2.385;2.306;2.365;2.075;2.300;2.098;2.246;2.296;2.190;2.304;2.014;1.771;1.257;929;632;444;275;100;21;7
LOS ÁLAMOS;21.035;1.617;1.784;1.721;1.515;1.316;1.502;1.379;1.451;1.465;1.465;1.377;1.209;1.022;758;550;376;266;171;66;18;7
TIRÚA;10.417;810;878;852;773;756;766;755;806;710;666;623;544;475;341;270;167;118;72;27;6;2
LOS ÁNGELES;202.331;14.400;15.128;14.895;14.899;14.372;15.679;13.929;13.717;14.292;14.594;13.664;11.530;9.173;7.139;5.825;3.994;2.697;1.566;634;156;48
ANTUCO;4.073;252;267;292;275;269;259;237;247;239;283;299;257;240;180;173;134;87;54;21;6;2
CABRERO;28.573;1.859;1.935;2.081;2.052;1.998;2.079;1.836;1.908;1.980;2.180;2.108;1.704;1.411;1.106;922;644;392;253;104;19;2
LAJA;22.389;1.557;1.637;1.621;1.649;1.416;1.530;1.228;1.407;1.410;1.627;1.637;1.405;1.247;1.002;818;583;327;199;66;19;4
MULCHÉN;29.627;1.952;2.229;2.165;2.166;2.097;2.206;1.898;1.842;1.897;2.015;2.075;1.726;1.495;1.157;998;767;466;317;125;31;3
NACIMIENTO;26.315;1.767;1.978;1.994;1.888;1.808;1.887;1.622;1.685;1.795;1.807;1.871;1.682;1.382;972;848;573;424;206;100;17;9
NEGRETE;9.737;694;719;725;654;673;736;575;584;626;693;687;648;482;385;334;241;149;91;33;5;3
QUILACO;3.988;233;258;226;242;246;250;191;225;235;255;298;283;245;241;212;160;107;57;16;8;0
QUILLECO;9.587;531;628;678;654;648;632;489;490;650;733;659;635;498;487;459;342;191;124;48;9;2
SAN ROSENDO;3.412;205;230;245;224;208;208;172;187;223;237;255;248;207;175;169;120;60;27;9;1;2
SANTA BÁRBARA;13.773;958;1.007;1.034;951;987;987;882;865;795;868;949;839;731;590;511;371;208;163;57;13;7
TUCAPEL;14.134;871;997;1.013;904;933;905;925;852;855;993;990;909;779;701;520;446;279;174;67;18;3
YUMBEL;21.198;1.177;1.304;1.323;1.368;1.167;1.329;1.240;1.360;1.423;1.600;1.561;1.503;1.252;1.086;896;779;420;266;110;28;6
ALTO BIOBÍO;5.923;572;592;546;387;438;499;478;398;390;344;323;284;217;169;107;91;56;22;7;1;2
CHILLÁN *;184.739;11.633;12.368;12.392;13.879;14.020;14.067;12.654;12.050;12.485;13.095;12.959;11.374;9.328;7.355;5.818;4.190;2.618;1.594;661;150;49
BULNES *;21.493;1.379;1.459;1.410;1.470;1.417;1.462;1.265;1.318;1.433;1.555;1.610;1.468;1.222;1.012;787;551;381;173;95;21;5
COBQUECURA *;5.012;203;265;272;231;222;289;310;337;359;349;401;432;327;314;261;213;122;67;24;12;2
COELEMU *;15.995;1.011;1.107;1.073;985;1.021;1.089;928;960;1.066;1.083;1.248;1.136;932;738;632;407;285;181;93;12;8
COIHUECO *;26.881;1.722;1.979;1.915;2.010;1.978;1.945;1.761;1.738;1.863;2.020;1.902;1.660;1.310;994;810;587;373;203;88;17;6
CHILLÁN VIEJO *;30.907;2.152;2.461;2.329;2.366;2.247;2.400;2.227;2.119;2.326;2.299;2.128;1.600;1.329;1.020;777;550;303;173;70;23;8
EL CARMEN *;12.044;674;749;853;812;730;734;723;772;845;858;937;777;670;553;492;405;243;145;57;13;2
NINHUE *;5.213;270;275;318;352;254;287;275;311;339;390;434;381;340;314;239;195;129;69;33;7;1
ÑIQUÉN *;11.152;608;660;737;683;557;611;596;612;691;829;931;852;780;626;544;363;245;153;49;21;4
PEMUCO *;8.448;514;550;593;655;559;538;523;526;585;561;651;559;459;313;321;253;151;86;37;11;3
PINTO *;10.827;586;690;688;709;684;779;674;621;740;855;828;764;605;506;440;320;181;109;34;10;4
PORTEZUELO *;4.862;266;295;301;322;253;261;254;264;308;364;432;388;309;233;222;173;128;58;27;2;2
QUILLÓN *;17.485;1.002;1.088;1.066;1.054;1.010;1.185;1.051;1.004;1.094;1.258;1.346;1.247;1.093;933;794;599;350;218;68;18;7
QUIRIHUE *;11.594;673;768;743;673;628;812;767;717;810;845;856;775;687;544;453;370;220;171;61;18;3
RÁNQUIL *;5.755;330;338;349;304;304;292;314;337;355;398;468;468;396;325;271;242;139;88;28;8;1
SAN CARLOS *;53.024;3.213;3.527;3.618;3.699;3.586;3.723;3.336;3.070;3.432;3.883;3.987;3.572;2.833;2.412;1.951;1.449;889;531;232;66;15
SAN FABIÁN *;4.308;248;267;284;270;261;310;269;298;276;316;288;256;228;228;181;167;83;49;23;4;2
SAN IGNACIO *;16.079;883;1.031;1.117;1.065;1.040;1.047;944;914;1.084;1.174;1.258;1.144;998;750;616;448;281;186;72;23;4
SAN NICOLÁS *;11.603;612;754;789;813;698;727;677;706;819;903;929;771;713;581;463;312;182;109;35;9;1
TREGUACO *;5.401;299;318;366;338;277;325;289;317;396;430;427;388;349;276;219;188;104;67;23;4;1
YUNGAY *;17.787;1.022;1.215;1.209;1.067;1.057;1.299;1.052;1.113;1.288;1.391;1.393;1.149;940;786;604;526;357;209;79;23;8
TEMUCO;282.415;18.729;18.772;17.940;22.558;27.048;24.314;20.279;18.866;19.262;18.317;17.861;15.369;12.579;9.743;7.642;5.580;3.777;2.419;987;287;86
CARAHUE;24.533;1.736;1.821;1.874;1.801;1.456;1.663;1.497;1.468;1.516;1.633;1.629;1.507;1.331;1.085;918;728;467;259;104;30;10
CUNCO;17.526;1.130;1.135;1.179;1.184;1.047;1.092;949;917;1.177;1.232;1.205;1.171;1.053;898;796;612;395;225;96;25;8
CURARREHUE;7.489;570;620;555;526;495;549;530;510;481;485;477;377;367;305;225;196;129;59;27;3;3
FREIRE;24.606;1.428;1.717;1.782;1.853;1.694;1.609;1.410;1.388;1.688;1.790;1.759;1.625;1.391;1.062;911;667;459;250;88;29;6
GALVARINO;11.996;871;889;957;786;797;767;717;735;725;775;846;791;601;494;432;339;238;144;70;17;5
GORBEA;14.414;820;901;912;959;971;974;863;852;871;1.024;1.055;972;823;679;626;492;297;196;94;27;6
LAUTARO;38.013;2.791;2.891;2.757;2.870;2.934;2.870;2.547;2.385;2.669;2.608;2.377;2.094;1.765;1.359;1.202;839;555;330;126;36;8
LONCOCHE;23.612;1.568;1.790;1.664;1.673;1.407;1.499;1.439;1.440;1.577;1.523;1.732;1.514;1.278;1.127;848;659;459;266;107;35;7
MELIPEUCO;6.138;372;441;410;373;371;383;370;347;427;419;413;392;345;330;266;213;132;87;37;9;1
NUEVA IMPERIAL;32.510;2.169;2.461;2.429;2.432;2.391;2.249;1.965;1.893;2.100;2.065;2.164;1.911;1.679;1.358;1.172;873;632;363;146;48;10
PADRE LAS CASAS;76.126;5.657;6.032;5.716;6.036;6.312;5.898;5.350;4.965;5.263;5.234;5.008;3.999;3.266;2.425;1.915;1.394;899;493;205;45;14
PERQUENCO;6.905;485;507;499;519;477;475;387;394;503;483;505;410;344;278;229;186;130;70;19;4;1
PITRUFQUÉN;24.837;1.522;1.657;1.726;1.754;1.659;1.643;1.499;1.499;1.760;1.743;1.799;1.539;1.319;1.109;917;697;495;311;137;37;15
PUCÓN;28.523;2.043;1.960;1.991;1.943;1.959;2.484;2.178;2.146;2.086;1.900;1.870;1.617;1.240;1.026;814;580;352;219;85;23;7
SAAVEDRA;12.450;833;963;910;717;706;755;763;727;737;855;849;851;743;599;500;392;282;153;82;27;6
TEODORO SCHMIDT;15.045;965;1.078;1.018;818;811;935;865;886;1.018;1.104;1.118;1.027;889;757;649;474;337;202;70;20;4
TOLTÉN;9.722;585;678;709;646;464;616;566;532;687;693;782;674;557;436;390;288;227;125;50;8;9
VILCÚN;28.151;1.996;2.177;2.171;2.214;2.057;1.999;1.737;1.918;2.018;1.980;1.825;1.558;1.276;1.019;846;621;402;229;83;15;10
VILLARRICA;55.478;3.887;4.064;3.844;4.022;3.757;4.102;3.782;3.613;3.781;4.065;3.887;3.243;2.702;2.176;1.758;1.213;810;487;221;51;13
CHOLCHOL;11.611;799;927;938;988;769;735;710;705;707;726;705;689;567;453;418;308;246;148;60;11;2
ANGOL;53.262;3.764;3.898;3.719;3.626;3.392;4.084;3.733;3.504;3.541;3.548;3.614;3.287;2.741;2.089;1.697;1.326;891;547;185;61;15
COLLIPULLI;24.598;1.714;1.977;1.920;1.729;1.574;1.841;1.632;1.546;1.591;1.621;1.667;1.518;1.267;1.001;746;572;359;204;83;29;7
CURACAUTÍN;17.413;1.131;1.140;1.232;1.149;1.053;1.091;978;1.079;1.091;1.195;1.307;1.123;1.038;895;717;516;352;210;89;22;5
ERCILLA;7.733;591;633;573;543;545;503;481;450;520;506;483;429;404;337;269;202;143;74;42;5;0
LONQUIMAY;10.251;739;786;710;822;677;685;639;691;733;677;679;605;527;394;339;231;182;86;38;9;2
LOS SAUCES;7.265;433;473;515;525;441;476;446;446;455;492;540;476;433;314;292;228;146;91;33;8;2
LUMACO;9.548;672;705;726;553;584;590;555;607;628;697;757;586;483;436;363;266;194;91;38;15;2
PURÉN;11.779;821;885;843;705;685;776;710;714;726;869;841;764;698;511;417;335;250;132;68;25;4
RENAICO;10.250;723;754;710;691;703;791;701;623;679;711;719;638;551;417;340;239;138;85;22;14;1
TRAIGUÉN;18.843;1.253;1.279;1.364;1.499;1.091;1.161;1.141;1.094;1.085;1.209;1.402;1.275;1.069;856;712;563;413;243;102;24;8
VICTORIA;34.182;2.339;2.245;2.187;2.499;2.438;2.408;2.216;2.077;2.135;2.300;2.556;2.115;1.905;1.459;1.232;862;608;385;162;41;13
VALDIVIA;166.080;10.184;10.583;10.193;13.026;16.306;14.235;11.809;10.759;10.574;10.469;11.371;9.742;8.016;6.218;4.730;3.390;2.255;1.420;588;166;46
CORRAL;5.302;318;327;355;331;347;374;299;257;343;430;425;357;311;257;202;169;101;71;23;5;0
LANCO;16.752;1.096;1.321;1.236;1.154;1.056;1.192;1.083;1.027;1.033;1.192;1.218;1.024;898;691;542;434;303;180;53;16;3
LOS LAGOS;19.634;1.244;1.492;1.401;1.363;1.294;1.440;1.293;1.181;1.288;1.347;1.431;1.267;1.068;791;682;504;296;159;70;20;3
MÁFIL;7.095;455;539;537;445;481;550;465;425;391;461;546;425;380;300;267;188;121;63;33;10;13
MARIQUINA;21.278;1.518;1.814;1.673;1.485;1.521;1.566;1.364;1.344;1.363;1.446;1.420;1.224;961;789;698;496;300;199;80;14;3
PAILLACO;20.188;1.289;1.437;1.479;1.529;1.343;1.378;1.241;1.255;1.306;1.369;1.440;1.309;1.117;831;712;502;318;226;89;10;8
PANGUIPULLI;34.539;2.211;2.516;2.642;2.565;2.152;2.396;2.323;2.167;2.367;2.429;2.515;2.088;1.742;1.458;1.107;830;503;350;124;41;13
LA UNIÓN;38.036;2.384;2.671;2.707;2.874;2.485;2.611;2.313;2.267;2.437;2.570;2.796;2.525;2.019;1.748;1.358;957;734;375;157;30;18
FUTRONO;14.665;1.080;1.155;1.065;1.003;905;1.076;903;883;1.016;1.022;1.068;936;746;594;463;355;222;121;46;4;2
LAGO RANCO;9.896;627;708;694;596;539;641;569;574;697;753;768;663;594;464;366;285;196;108;38;11;5
RÍO BUENO;31.372;1.904;2.087;2.126;2.048;1.947;2.148;1.858;1.815;2.123;2.232;2.396;2.179;1.822;1.468;1.203;923;569;336;139;41;8
PUERTO MONTT;245.902;17.004;18.624;17.871;18.825;20.501;21.421;18.940;18.189;18.066;17.130;16.231;12.564;9.584;7.201;5.347;3.891;2.310;1.403;591;149;60
CALBUCO;33.985;2.128;2.487;2.623;2.290;2.372;2.563;2.210;2.072;2.339;2.622;2.448;1.947;1.537;1.320;1.116;822;507;379;154;41;8
COCHAMÓ;4.023;194;227;249;169;210;285;257;273;292;315;349;296;260;197;159;125;89;51;21;4;1
FRESIA;12.261;723;755;838;826;793;778;679;705;864;918;976;830;744;588;444;345;245;143;46;19;2
FRUTILLAR;18.428;1.159;1.395;1.251;1.238;1.243;1.420;1.240;1.217;1.316;1.230;1.404;1.194;930;748;539;422;251;144;71;12;4
LOS MUERMOS;17.068;1.073;1.163;1.154;1.124;1.046;1.163;999;992;1.208;1.283;1.342;1.081;912;814;632;492;318;170;78;20;4
LLANQUIHUE;17.591;1.097;1.239;1.235;1.302;1.294;1.274;1.115;1.101;1.249;1.271;1.355;1.080;917;675;568;408;221;127;48;13;2
MAULLÍN;14.216;770;888;927;851;805;931;775;753;964;1.138;1.213;994;868;718;621;462;301;157;63;15;2
PUERTO VARAS;44.578;3.367;3.334;3.108;3.132;2.581;3.473;3.454;3.587;3.511;3.268;2.881;2.574;1.947;1.482;1.155;769;522;272;113;40;8
CASTRO;43.807;2.764;3.155;3.204;2.997;2.660;3.440;3.429;3.480;3.370;3.178;3.072;2.405;1.865;1.482;1.198;932;594;325;195;44;18
ANCUD;38.991;2.323;2.670;2.783;2.719;2.216;2.770;2.570;2.572;2.764;2.828;2.994;2.512;2.059;1.602;1.375;1.023;620;375;151;53;12
CHONCHI;14.858;879;973;1.079;1.265;869;1.062;1.111;1.054;1.161;1.102;1.083;823;695;526;431;346;204;132;51;11;1
CURACO DE VÉLEZ;3.829;197;287;308;307;215;223;245;278;275;281;251;192;183;154;149;112;72;66;26;7;1
DALCAHUE;13.762;871;1.039;1.046;951;907;1.069;999;971;1.009;1.027;1.018;720;568;453;385;299;218;136;53;19;4
PUQUELDÓN;3.921;217;257;231;233;211;264;282;302;286;286;273;236;196;195;151;131;79;54;23;10;4
QUEILÉN;5.385;309;358;419;329;329;392;343;393;404;390;407;342;265;205;176;135;91;56;32;7;3
QUELLÓN;27.192;2.003;2.238;2.088;1.849;1.836;2.505;2.368;2.159;1.896;2.035;1.837;1.419;994;662;527;373;209;124;52;12;6
QUEMCHI;8.352;410;567;618;475;458;556;519;579;661;645;613;520;438;375;318;251;174;120;43;10;2
QUINCHAO;8.088;425;543;620;508;425;523;581;565;623;594;571;469;423;374;313;236;140;90;52;10;3
OSORNO;161.460;10.296;11.538;10.929;11.633;11.712;12.811;11.644;11.176;11.774;10.867;10.921;9.613;7.639;5.964;4.766;3.510;2.351;1.501;608;157;50
PUERTO OCTAY;8.999;540;602;609;641;638;624;518;579;585;671;720;621;519;373;280;243;132;73;24;5;2
PURRANQUE;20.369;1.303;1.385;1.393;1.426;1.352;1.452;1.189;1.118;1.313;1.418;1.537;1.358;1.087;927;757;566;429;244;99;14;2
PUYEHUE;11.667;692;762;772;972;760;727;701;692;824;846;892;760;647;519;424;310;188;123;43;8;5
RÍO NEGRO;14.085;838;958;941;1.060;855;908;835;763;916;1.000;1.036;994;822;692;549;396;265;167;72;14;4
SAN JUAN DE LA COSTA;7.512;348;465;505;415;392;348;363;501;626;547;589;564;478;424;336;273;194;102;32;8;2
SAN PABLO;10.030;578;679;628;664;586;593;552;602;659;693;816;661;669;498;416;341;195;138;48;11;3
CHAITÉN;5.071;239;319;325;254;273;436;384;443;469;410;377;346;295;159;142;90;67;28;12;2;1
FUTALEUFÚ;2.623;158;178;142;132;156;249;221;191;192;205;201;159;121;91;86;75;32;21;9;4;0
HUALAIHUÉ;8.944;577;646;768;528;476;634;659;657;666;720;664;532;431;319;259;179;118;78;26;6;1
PALENA;1.711;80;104;116;94;70;143;121;118;125;114;143;96;123;79;76;45;31;16;10;7;0
COYHAIQUE;57.818;4.273;4.706;4.492;4.604;3.380;4.610;4.400;4.531;4.306;3.878;3.599;3.257;2.634;1.818;1.282;939;591;347;125;27;19
LAGO VERDE;852;34;60;58;30;46;71;54;57;58;58;89;58;60;50;27;18;12;8;2;1;1
AYSÉN;23.959;1.720;1.981;1.883;1.600;1.438;2.142;1.930;1.837;1.790;1.582;1.669;1.348;979;712;508;424;229;116;57;11;3
CISNES;6.517;373;453;408;287;370;675;630;569;564;543;537;352;286;192;104;78;50;35;7;3;1
GUAITECAS;1.843;101;114;116;92;117;203;190;190;156;168;127;86;63;52;23;23;15;3;3;1;0
COCHRANE;3.490;234;263;231;241;241;291;323;284;252;234;208;194;166;99;84;79;40;14;5;5;2
O'HIGGINS;625;47;50;38;9;40;84;66;46;52;44;33;47;26;18;14;5;3;2;0;0;1
TORTEL;523;50;38;35;14;33;52;59;45;39;41;38;28;16;14;12;2;5;1;1;0;0
CHILE CHICO;4.865;291;344;335;233;245;369;426;373;323;369;349;353;290;170;147;119;76;38;11;3;1
RÍO IBÁÑEZ;2.666;161;152;162;99;131;240;224;157;168;200;202;181;187;133;110;63;51;30;13;2;0
PUNTA ARENAS;131.592;7.781;8.601;8.391;9.721;9.013;10.366;10.224;9.704;9.378;8.334;8.895;8.578;6.978;5.142;4.082;2.866;1.870;1.064;433;140;31
LAGUNA BLANCA;274;11;8;28;9;12;15;20;21;22;21;31;18;29;15;7;5;2;0;0;0;0
RÍO VERDE;617;5;6;2;9;53;75;88;65;69;63;62;44;43;17;10;3;2;1;0;0;0
SAN GREGORIO;799;21;33;14;12;32;89;100;66;72;68;76;93;72;25;19;5;1;1;0;0;0
CABO DE HORNOS;2.063;166;190;161;87;146;221;252;210;186;126;110;90;53;33;18;6;4;4;0;0;0
ANTÁRTICA;138;4;3;1;0;2;14;21;39;21;22;8;1;2;0;0;0;0;0;0;0;0
PORVENIR;6.801;416;428;411;571;468;683;581;475;461;450;436;424;338;239;164;126;73;37;13;4;3
PRIMAVERA;1.158;30;32;31;8;50;136;147;130;97;111;125;110;99;30;16;5;1;0;0;0;0
TIMAUKEL;405;9;14;5;9;31;50;50;30;37;49;38;39;19;15;5;3;1;0;0;0;1
NATALES;21.477;1.303;1.411;1.363;1.413;1.292;1.879;1.716;1.673;1.595;1.372;1.333;1.218;1.151;915;706;518;333;182;78;23;3
TORRES DEL PAINE;1.209;15;15;18;23;165;265;188;109;76;76;70;63;46;35;26;14;4;1;0;0;0
