Comuna;0 a 4;5 a 9;10 a 14;15 a 19;20 a 24;25 a 29;30 a 34;35 a 39;40 a 44;45 a 49;50 a 54;55 a 59;60 a 64;65 a 69;70 a 74;75 a 79;80 a 84;85 a 89;90 a 94;95 a 99;100+
PUNITAQUI;10.956;797;872;816;713;623;747;732;673;713;694;707;653;580;538;405;304;221;106;45;14;3
RÍO HURTADO;4.278;214;252;288;216;225;262;271;230;260;277;319;314;307;226;232;173;99;72;26;14;1
VALPARAÍSO;296.655;17.738;17.804;17.156;22.010;28.199;25.974;20.907;18.895;18.109;17.791;19.172;18.082;15.195;12.362;10.181;7.084;4.930;3.398;1.253;318;97
CASABLANCA;26.867;1.786;1.851;1.761;1.898;2.004;2.116;1.802;1.811;1.857;1.861;1.920;1.700;1.248;1.020;784;632;430;249;93;35;9
CONCÓN;42.152;2.626;2.856;2.722;3.268;3.417;3.239;2.706;2.667;2.864;2.899;3.079;2.754;2.160;1.584;1.323;889;596;330;137;32;4
JUAN FERNÁNDEZ;926;64;68;59;44;32;95;100;84;65;61;62;56;56;33;18;15;5;5;3;0;1
PUCHUNCAVÍ;18.546;1.214;1.267;1.207;1.163;1.236;1.333;1.265;1.173;1.220;1.200;1.308;1.247;1.041;872;703;484;356;182;59;15;1
QUINTERO;31.923;2.194;2.323;2.107;2.320;2.379;2.265;2.148;2.003;2.026;2.063;2.180;2.028;1.629;1.335;1.130;855;522;287;94;32;3
VIÑA DEL MAR;334.248;18.444;18.762;17.980;24.945;32.934;28.922;23.289;20.509;19.447;19.097;21.610;20.929;17.752;14.324;12.209;9.212;6.855;4.665;1.776;469;118
ISLA DE PASCUA;7.750;559;580;503;422;476;895;847;688;619;486;500;377;323;226;131;66;33;15;3;1;0
LOS ANDES;66.708;4.431;4.496;4.343;4.884;4.720;5.210;4.748;4.856;4.669;4.437;4.450;4.003;3.437;2.689;2.155;1.337;904;633;209;72;25
CALLE LARGA;14.832;1.155;1.180;1.024;1.017;959;1.217;1.062;1.031;945;982;1.040;895;645;547;445;302;207;115;39;16;9
RINCONADA;10.207;761;887;713;672;623;808;685;794;703;745;696;551;451;368;300;209;138;68;23;10;2
SAN ESTEBAN;18.855;1.379;1.448;1.283;1.264;1.226;1.376;1.337;1.272;1.329;1.287;1.373;1.124;908;727;592;414;259;174;62;15;6
LA LIGUA;35.390;2.399;2.436;2.314;2.219;2.132;2.629;2.473;2.154;2.453;2.396;2.777;2.319;1.891;1.515;1.217;971;622;341;102;20;10
CABILDO;19.388;1.332;1.469;1.471;1.329;1.199;1.396;1.322;1.275;1.229;1.329;1.364;1.235;1.013;786;619;465;305;162;69;15;4
PAPUDO;6.356;369;353;385;753;407;470;430;388;390;401;501;399;326;263;196;149;84;64;19;7;2
PETORCA;9.826;583;674;629;567;611;763;631;621;627;697;739;656;566;454;370;283;187;112;42;13;1
ZAPALLAR;7.339;480;451;401;445;443;563;513;488;517;455;540;545;423;338;309;182;123;84;31;3;5
QUILLOTA;90.517;5.867;6.395;5.879;6.516;6.767;6.987;6.531;5.829;5.691;5.354;6.162;5.746;4.812;3.766;3.029;2.112;1.546;1.015;395;90;28
CALERA;50.554;3.263;3.680;3.462;3.817;3.754;3.841;3.469;3.076;3.219;3.041;3.454;3.144;2.730;2.069;1.705;1.290;794;526;176;26;18
HIJUELAS;17.988;1.194;1.301;1.224;1.277;1.359;1.345;1.225;1.124;1.242;1.179;1.364;1.140;890;698;546;399;245;160;58;12;6
LA CRUZ;22.098;1.731;1.751;1.574;1.551;1.397;1.802;1.919;1.810;1.529;1.365;1.324;1.146;922;714;606;428;273;169;56;24;7
NOGALES;22.120;1.544;1.552;1.558;1.683;1.634;1.583;1.382;1.255;1.429;1.394;1.602;1.442;1.134;934;761;549;354;223;77;24;6
SAN ANTONIO;91.350;6.281;6.227;6.158;6.169;6.170;7.036;6.285;6.084;6.065;5.922;6.430;6.052;4.842;3.822;2.926;2.154;1.396;910;314;79;28
ALGARROBO;13.817;828;808;789;792;751;844;904;883;897;855;935;985;876;864;747;515;281;168;64;27;4
CARTAGENA;22.738;1.482;1.548;1.566;1.424;1.396;1.576;1.438;1.327;1.309;1.414;1.539;1.569;1.359;1.226;1.016;738;437;264;78;26;6
EL QUISCO;15.955;909;974;974;894;836;952;963;966;1.020;944;1.061;1.079;1.035;998;935;666;406;237;82;20;4
EL TABO;13.286;781;775;737;674;688;816;835;756;794;822;917;993;941;888;808;507;318;170;45;16;5
SANTO DOMINGO;10.900;697;782;748;650;546;721;760;752;833;807;820;710;617;464;396;255;160;124;44;11;3
SAN FELIPE;76.844;5.480;5.660;5.284;5.274;5.577;6.366;5.781;5.315;5.032;4.666;5.185;4.545;3.733;2.895;2.279;1.573;1.105;726;275;73;20
CATEMU;13.998;961;1.000;968;941;933;1.053;998;923;933;945;942;842;698;605;455;376;211;137;56;19;2
LLAILLAY;24.608;1.841;1.775;1.675;1.633;1.679;1.918;1.736;1.556;1.596;1.674;1.683;1.521;1.285;981;793;517;386;242;92;13;12
PANQUEHUE;7.273;501;538;529;479;493;546;503;470;505;474;502;475;410;311;228;135;85;54;24;8;3
PUTAENDO;16.754;1.089;1.167;1.070;1.132;1.152;1.150;1.072;1.049;1.094;1.069;1.259;1.085;872;728;651;470;355;185;77;23;5
SANTA MARÍA;15.241;1.067;1.114;980;1.068;1.094;1.154;1.029;1.044;919;935;1.160;1.004;776;608;502;355;230;136;49;10;7
QUILPUÉ;151.708;8.992;9.395;9.521;10.872;11.916;11.506;9.665;9.502;9.818;9.754;10.468;9.852;8.201;6.698;5.736;4.042;2.917;1.855;733;204;61
LIMACHE;46.121;3.061;3.258;3.056;3.320;3.415;3.371;2.900;3.033;3.121;2.935;3.196;2.753;2.255;1.901;1.734;1.217;809;522;199;52;13
OLMUÉ;17.516;1.138;1.098;1.102;1.180;1.206;1.214;1.125;1.153;1.096;1.027;1.219;1.160;1.025;884;768;491;309;211;78;26;6
